DATE,USSTHPI
1975-01-01,61.0475000000000000
1976-01-01,65.5175000000000000
1977-01-01,73.4450000000000000
1978-01-01,83.7425000000000000
1979-01-01,95.1600000000000000
1980-01-01,102.6650000000000000
1981-01-01,107.2300000000000000
1982-01-01,108.4250000000000000
1983-01-01,116.2550000000000000
1984-01-01,121.4525000000000000
1985-01-01,127.6575000000000000
1986-01-01,136.3750000000000000
1987-01-01,145.2000000000000000
1988-01-01,152.9950000000000000
1989-01-01,161.0675000000000000
1990-01-01,166.1175000000000000
1991-01-01,169.2850000000000000
1992-01-01,173.9975000000000000
1993-01-01,178.0600000000000000
1994-01-01,182.5725000000000000
1995-01-01,188.1425000000000000
1996-01-01,194.6300000000000000
1997-01-01,201.1450000000000000
1998-01-01,211.4525000000000000
1999-01-01,221.8475000000000000
2000-01-01,236.0375000000000000
2001-01-01,253.6950000000000000
2002-01-01,269.7575000000000000
2003-01-01,286.5800000000000000
2004-01-01,313.4525000000000000
2005-01-01,349.0450000000000000
2006-01-01,374.0525000000000000
2007-01-01,378.2150000000000000
2008-01-01,358.7750000000000000
2009-01-01,338.8550000000000000
2010-01-01,325.0225000000000000
2011-01-01,312.4700000000000000
2012-01-01,311.6400000000000000
2013-01-01,323.3250000000000000
2014-01-01,339.4525000000000000
2015-01-01,356.8850000000000000
2016-01-01,375.5400000000000000
2017-01-01,395.8925000000000000
2018-01-01,417.8100000000000000
2019-01-01,437.1700000000000000
2020-01-01,459.7325000000000000
2021-01-01,522.9150000000000000
2022-01-01,610.9600000000000000
2023-01-01,646.2300000000000000
2024-01-01,.
